Year,Title,Production - studio,Directors,Lead Actor/Actress,IMDB rating,Box Office Earnings in Rupees,Release month
1954,Do Bigha Zamin,Bimal Roy Productions,Bimal Roy,Balraj Sanhi,8.4,60000000,January
1955,Boot Polish,R. K. Films,Prakash Arora,Kumari Naaz,8.1,50000000,August
1956,Jagriti,Filmistan Productions,Satyen Bose,Rajkumar Gupta,6.9,25000000,January
1957,Jhanak Jhanak Payal Baaje,Rajkamal Kala Mandir,V. Shantaram,Sandhya Shantaram,7.1,12500000,January
1958,Mother India,Mehboob Pictures,Mehboob Khan,Nargis Dutt,8.1,80000000,October
1959,Madhumati,Bimal Roy Productions,Bimal Roy,Dilip Kumar,8,40000000,September
1960,Sujata,Bimal Roy Productions,Bimal Roy,Nutan Samarth,7.3,13000000,March
1961,Mughal-e-Azam,Sterling Investments,K. Asif,Dilip Kumar,8.3,110000000,August
1962,Jis Desh Meen Ganga Behti Hei,R. K. Films,Radhu Karmakar,Raj Kapoor,7.4,20000000,August
1963,Sahib Bibi Aur Ghulam,Guru Dutt Movies Pvt. Ltd.,Abrar Alvi,Meena Kumari,8.3,580000000,December
1964,Bandini,Bimal Roy Productions,Bimal Roy,Aasiya Kazi,7.7,13000000,January
1965,Dosti,Rajshri Productions,Satyen Bose,Sushil Kumar,8.4,20000000,November
1966,Himalay Ki God Mein,Shri Prakash Pictures,Vijay Bhatt,Manoj Kumar,6.9,45000000,June
1967,Guide,Navketan Films,Vijay Anand,Dev Anand,8.5,35000000,December
1968,Upkar,V. I. P. Films,Manoj Kumar,Manoj Kumar,7.6,70000000,August
1969,Brahmachari,Sippy Films,Bhappi Sonie,Shammi Kapoor,6.9,250000000,April
1970,Aradhana,Shakti Films,Shakti Samanta,Rajesh Khanna,7.6,70000000,September
1971,Khilona,Prasad Sutdios,Chander Vohra,Sanjeev Kumar,7.1,35000000,April
1972,Anand,Rupam Chitra,Hrishikesh Mukherjee,Amitabh Bachchan,8.8,650000000,March
1973,Be-Imaan,Filmnagar,Sohanlal Kanwar,Mamoj Kumar,6.9,550000000,December
1974,Anuraag,Shakti Films,Shakti Samanta,Rajesh Khanna,7.1,180000000,December
1975,Rajnighanda,Devki Chitra,Basu Chatterjee,Vidya Sinha,7.4,289000000,September
1976,Deewar,Trimurti Films,Yash Chopra,Amitabh Bachchan,8.1,750000000,January
1977,Mausam,Sunandini Pictures,Gulzar,Sahid Kapoor,8.1,315600000,December
1978,Bhumika,Blaze Film Enterprises,Shyam Benegal,Samita Patil,7.5,442000000,November
1979,Main Tulsi Tere Aangan Ki,Raj Khosla Films,Raj Khosla,Vijay Anand,6.7,550000000,August
1980,Junoon,Film-Valas,Mahesh Bhatt,Pooja Bhatt,7.6,350000000,March
1981,Khubsoorat,Rupam Chitra,Hrishikesh Mukherjee,Sanjay Dutt,7.7,794300000,January
1982,Kalyug,Film-Valas,Shyam Benegal,Kunal Khemu,7.8,110000000,March
1983,Shakti,M. R. Productions,Ramesh Sippy,Karisma Kapoor,7.7,203600000,September
1984,Ardh Satya,Neo Films,Govind Nihalani,Om Puri,8.2,15600000,August
1985,Sparsh,-,Sai Paranjpye,Naseeruddin Shah,8.1,2300000,January
1986,Ram Teri Ganga Maili,R. K. Films,Raj Kapoor,Mandakini,6.7,130000000,July
1987,,,,,,,
1988,,,,,,,
1989,Qayamat Se Qayamat Tak,Nasir Hussain Films,Mansoor Khan,Aamir Khan/Juhi Chawla,7.5,1400000000,March
1990,Maine Pyar Kiya,Rajshri Productions,Tarachand Barjarta,Salman Khan/Bhagyashee,7.3,2600000000,December
1991,Ghayal,Viejta Films,Dharmendra,Sunny Deol/Meenakshi Sheshadhri,7.6,1340000000,June
1992,Lamhe,Yash Rah Films,Yash Chopra,Anil Kapoor/Sridevi,7.4,140000000,November
1993,Jo Jeeta Whoi Sikandar,Nasir Hussain Films,Nasir Hussain,Aamir Khan/Ayesha Jhulka,8.2,40000000,May
1994,Hum Hain Rahi Pyar Ke,Tahir Hussain Enterprises,Tahir Hussain,Aamir Khan/Juhi Chawla,7.4,97000000,July
1995,Hum Aapke Hain Koun..!,Rajshri Productions,Ajit Kumar Barjatya,Salman Khan/Madhuri Dixit,7.5,1280000000,August
1996,Dilwale Dulhania Le Jayenge,Yash Raj Films,Yash Chopra,Shah Rukh Khan/Kajol,8.1,1030000000,October
1997,Raja Hindustani,Cineyugg Entertainment,Aly Morani & Karim Morani,Aamir Khan/Karishma Kapoor,6.2,763400000,November
1998,Dil To Pagal Hai,Yash Raj Films,Yash Chopra,Shah Rukh Khan/Madhuri ,7,598000000,October
1999,Kuch Kuch Hota Hai,Dharma Productions,Yash Johar,Shah Rukh Khan/Kajol,7.6,1070000000,October
2000,Hum Dil De Chuke Sanam,Bhansali Films,Sanjay Leela Bhansali,"Salman Khan, Ajay Devgan/Aishwarya Rai",7.5,514000000,June
2001,Kaho Naa... Pyaar Hai,Film Kraft,Rakesh Roshan,Hrithik Roshan/Ameesha Patel,6.9,800000000,January
2002,Lagaan,Aamir Khan Production,Aamir Khan,Aamir Khan/Gracie Singh,8.1,659700000,June
2003,Devdas,Mega Bollywood,Bharat Shah,"Shah Rukh Khan/Madhuri, Aishwariya Rai",7.6,1020000000,July
2004,Koi... Mil Gaya,Film Kraft,Rakesh Roshan,Hrithik Roshan/Priety Zinta,7.1,823300000,August
2005,Veer-Zaara,Yash Raj Films,Yash Chopra & Aditya Chopra,Shah Rukh Khan/Priety Zinta,7.8,976400000,November
2006,Black,SLB Films,Sanjay Leela Bhansali,Amitabh Bachchan/Rani Mukherjee,8.2,1820000000,February
2007,Rang De Basanti,UTV Motion Pictures,"Ronnie Scewvala, Rakeysh Omprakash Mehra",Aamir Khan (Ensamble Cast),8.2,970000000,January
2008,Taare Zameen Par,Aamir Khan Production,Aamir Khan,Aamir Khan and Darsheel Safari,8.4,889000000,December
2009,Jodhaa Akbar,Ashutosh Gowariker Productions,"Ashutosh Gowariker, Ronnie Screwvala",Hrithik Roshan/Aishwarya Rai,7.6,1120000000,February
2010,3 Idiots,Vinod Chopra Production,Vidhu Vinod Chopra,"Aamir Khan, Sharmaan Joshi, R. Madhvan",8.4,4600000000,December
2011,Dabangg,Arbaaz Khan Productions & Shree Ashtavinayak Cine Vision Ltd,"Arbaaz Khan, Malaika Arora, & Dhillin Mehta",Salmaan Khan/Sonakshi Sinha,6.2,2190000000,September
2012,Zindagi Na Milegi Dobara,Excel Entertainment,"Farhan Akhtar, Ritesh Sidhwani","Hrithik Roshan, Abhay Deol, Farhan Akhtar",8.1,1530000000,July
2013,Barfi!,UTV Motion Pictures,Ronnie Screwvala & Siddharth Roy Kapur,Ranbir Kapoor/Priyanka Sharma,8.1,1833600000,September
2014,Bhaag Milkha Bhaag,ROMP Pictures,"Rakeysh Omprakash Mehra, Rajiv Tandon & P.S. Barathi",Farhan Akhtar,8.2,2100000000,July
2015,Queen,Viacom 18 Motion Pictures and Phantom Films,Anurag Kashyap & Vikramaditya Motwane,Rajkumar Rao/Kangana Ranaut,8.2,1200000000,October
2016,Bajirao Mastani,SLB Films and Eros International,Sanjay Leela Bhansali,"Ranveer Singh, Shahid Kapoor/Deepika Padukone",7.2,3560000000,December
2017,Dangal ,"Walt Disney Pictures, Aamir Khan Productions, and UTV Motion Pictures","Aamir Khan, Kiran Rao, & Siddharth Roy Kapoor","Aamir Khan/Fatima Sana Sheikh, Zaira Wasim",8.4,7160000000,May
2018,Hindi Medium, T-Series and Maddock Films,"Dinesh Vija, Bhushan Kumar, & Krishan Kumar",Irrfan Khan/Saba Qamar,7.4,3224000000,April
2019,Raazi,"Dharma Productions, Junglee Pictures","Vineet Jain, Karan Johar, Hiroo Yash Johar, & Apporva Mehta",Vicky Kaushal/Alia Bhatt,7.8,2070000000,May
2020,Gully Boy ,"Excel Entertainment, Tiger Baby Films","Farhan Akhtar, Ritesh Sidhwani",Ranveer Singh/Alia Bhatt,8.2,2381600000,February